72,80,80,84,39,95,86,80,17,76
100,83,87,30,33,42,27,60,18,47
58,62,68,80,13,81,29,22,85,41
21,45,56,31,43,57,23,14,53,94
17,76,13,53,33,78,64,56,94,76
28,49,72,52,30,80,24,48,18,15
51,23,86,54,21,51,98,100,68,12
52,20,70,27,34,97,85,28,46,48
51,43,93,54,65,93,22,98,84,99
31,25,37,97,96,76,50,90,98,61
21,70,54,48,96,69,82,17,47,42
43,35,41,37,63,60,65,54,95,41
33,28,95,84,35,81,54,61,95,49
58,19,22,37,77,26,76,46,62,75
66,40,76,50,65,95,34,10,28,47
35,99,32,41,35,74,64,31,65,18
90,49,78,81,63,79,26,98,98,76
56,11,69,15,47,24,54,58,16,26
27,41,81,57,95,93,26,98,72,53
97,21,92,66,45,40,88,87,43,30
