12	45
7	83
100	200
3.14	2.71
0	0
-5	12
42	-18
1000	9999
0.5	0.25
99	1
# comment line
18	37
 24	56
30	 90
15	
	77
1e3	2e4
1.5e-2	3.0e2
N/A	45
12	N/A
NULL	NULL
none	12
12	none
inf	42
12	inf
-inf	-inf
NaN	33
12	NaN
1,234	567
1.2.3	45
12	45 extra
 	 
12	45
000	007
+12	+99
-0	-0
12.0	45.0
12.	.45
1_000	2_000
0x1F	45
1/2	45
12	45
999999999	888888888
0.000001	0.000002
-999	-1
1	2
3	4
5	6
7	8
9	10
11	12
13	14
15	16
17	18
19	20
21	22
23	24
25	26
27	28
29	30
31	32
33	34
35	36
37	38
39	40
41	42
43	44
45	46
47	48
49	50
51	52
53	54
55	56
57	58
59	60
61	62
63	64
65	66
67	68
69	70
71	72
73	74
75	76
77	78
79	80
81	82
83	84
85	86
87	88
89	90
91	92
93	94
95	96
97	98
99	100
